id,name,moneycontrol_link,Score,Sr.no
532683,AIA ENGINEERING LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,,148
533398,MUTHOOT FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/muthootfinance/MF10,,149
511288,GRUH FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gruhfinance/GRU,,150
532149,BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofindia/BOI,,151
523395,3M INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,,152
532814,INDIAN BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,,153
500238,WHIRLPOOL OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/whirlpoolindia/WI,,154
533096,ADANI POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/adanipower/AP11,,155
532498,SHRIRAM CITY UNION FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramcityunionfinance/SCU,,156
500111,RELIANCE CAPITAL LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC,,157
532939,RELIANCE POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/reliancepower/RP,,158
524816,NATCO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07,,159
509930,SUPREME INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,,160
526299,MPHASIS LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,,161
502355,BALKRISHNA INDUSTRIES LTD,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,,162
500575,VOLTAS LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,,163
523642,P.I.INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/piindustries/PII,,164
